long,lat,region,target,atm_group,food_drink_500,bus_tram_count,food_drink_1000,food_drink_250,metro_distance,personal_services_1000,metro_count,financial_services_250,financial_services_500,financial_services_1000,food_drink_100,personal_services_500,cash_intensive_shops_1000,entertainment_1000,markets_vendors_1000,healthcare_1000,financial_services_100,personal_services_250,cash_intensive_shops_500,entertainment_500,tourism_1000
38.122524,50.178381,Белгородская область,-0.0627590998209366,5478.0,2,2,2,1,0.0,0,0,0,0,1,0,0,3,0,0,1,0,0,2,0,0
48.333054,54.263818,Ульяновская область,-0.0374630957994862,5478.0,6,13,18,3,0.0,14,0,3,4,11,1,5,43,0,3,31,1,1,13,0,2
39.274138,51.642933,Воронежская область,-0.0253335826182655,5478.0,0,0,9,0,0.0,1,0,0,0,1,0,0,9,0,0,7,0,0,2,0,0
37.731838,55.815701,Москва,0.0305803603911584,5478.0,10,22,20,7,75.30905516222298,16,7,3,3,9,0,9,19,0,7,19,1,7,12,0,2
45.959741,51.503074,Саратовская область,-0.0951045112726824,5478.0,1,6,7,1,0.0,4,0,2,5,8,0,3,5,1,1,6,2,0,1,1,0
39.884893,59.220266,Вологодская область,-0.0787020593531897,5478.0,49,12,103,20,0.0,13,0,6,14,33,5,5,7,15,1,31,4,2,3,6,18
104.287487,52.283412,Иркутская область,0.0630339052245658,1942.0,88,13,208,37,0.0,40,0,3,15,39,1,17,20,7,1,40,1,6,11,3,52
51.061489,56.946378,Кировская область,-0.1407121620015678,496.5,0,0,0,0,0.0,0,0,1,2,2,0,0,6,0,1,9,0,0,4,0,1
30.354909,59.931201,Санкт-Петербург,-0.0083402945292915,1942.0,264,37,897,79,43.08233919668352,237,9,31,77,148,25,62,129,40,131,130,13,19,52,8,288
44.534465,48.514183,Волгоградская область,-0.1248140468007871,5478.0,4,2,11,3,0.0,2,0,0,2,5,1,1,12,1,0,12,0,1,5,1,0
39.664285,47.262625,Ростовская область,-0.0354088788802426,5478.0,1,6,4,0,0.0,1,0,1,1,2,0,1,11,0,2,15,1,0,6,0,0
49.230408,55.773449,Татарстан,-0.1009100099237087,1022.0,5,12,33,2,0.0,36,0,5,7,26,1,3,38,0,14,56,4,2,9,0,3
30.393366,60.040393,Санкт-Петербург,0.1911484017786954,8083.0,12,17,34,5,0.0,35,0,2,8,28,2,10,42,1,6,44,2,5,20,0,2
131.928918,43.111311,Приморский край,0.0710625068064847,5478.0,5,2,51,0,0.0,31,0,4,8,30,0,11,45,1,7,32,2,4,3,0,3
113.519716,52.037442,Забайкальский край,0.0401247998690409,5478.0,1,6,8,0,0.0,4,0,1,7,21,0,1,12,2,0,22,1,0,2,1,3
131.922971,43.168562,Приморский край,0.2041571855838185,8083.0,7,4,28,6,0.0,14,0,15,16,31,0,7,32,1,2,31,4,7,9,1,3
36.192368,51.737936,Курская область,0.1300925794644684,8083.0,28,9,52,12,0.0,19,0,11,34,52,4,9,34,4,0,62,7,1,22,3,6
119.760842,53.731796,Забайкальский край,-0.0420853604828807,5478.0,0,4,5,0,0.0,0,0,0,0,3,0,0,2,0,0,1,0,0,1,0,2
38.854606,58.048507,Ярославская область,0.0979361502478081,8083.0,23,12,44,17,0.0,9,0,2,10,17,4,7,20,1,2,22,0,4,11,1,5
142.785544,46.641588,Сахалинская область,0.0210288860907484,5478.0,2,7,6,2,0.0,3,0,0,0,3,1,1,18,0,2,12,0,0,8,0,2
39.142966,51.644056,Воронежская область,-0.0001698729061635,5478.0,11,7,22,5,0.0,9,0,5,9,17,0,1,32,0,7,29,4,0,16,0,1
65.497605,57.162342,Тюменская область,0.1829395202482843,8083.0,7,11,19,0,0.0,3,0,0,1,5,0,1,20,0,3,19,0,0,4,0,3
37.353504,55.597698,Москва,0.0088565257890719,5478.0,8,17,19,1,0.0,10,0,1,1,4,0,2,17,2,3,21,1,1,4,1,2
37.748125,55.891835,Московская область,0.0360558143259925,5478.0,10,2,12,8,0.0,1,0,2,2,3,6,0,4,0,2,0,2,0,0,0,0
41.964888,45.038897,Ставропольский край,-0.0678102830081547,3185.5,36,11,91,13,0.0,17,0,7,25,41,0,7,19,6,1,48,1,3,6,3,6
49.118586,55.829578,Татарстан,-0.0311716615346012,1022.0,20,5,69,8,0.0,57,0,10,15,35,5,10,58,0,42,59,7,5,17,0,2
61.424706,55.161615,Челябинская область,-0.0717804146528596,5478.0,9,5,29,1,0.0,14,0,2,11,41,0,4,13,4,2,29,1,1,2,0,9
